Timestamp,base_PosX,base_PosY,base_PosZ,base_RotX,base_RotY,base_RotZ,base_RotW,base_jointAngle,shoulder_PosX,shoulder_PosY,shoulder_PosZ,shoulder_RotX,shoulder_RotY,shoulder_RotZ,shoulder_RotW,shoulder_jointAngle,elbow_PosX,elbow_PosY,elbow_PosZ,elbow_RotX,elbow_RotY,elbow_RotZ,elbow_RotW,elbow_jointAngle,wrist1_PosX,wrist1_PosY,wrist1_PosZ,wrist1_RotX,wrist1_RotY,wrist1_RotZ,wrist1_RotW,wrist1_jointAngle,wrist2_PosX,wrist2_PosY,wrist2_PosZ,wrist2_RotX,wrist2_RotY,wrist2_RotZ,wrist2_RotW,wrist2_jointAngle,wrist3_PosX,wrist3_PosY,wrist3_PosZ,wrist3_RotX,wrist3_RotY,wrist3_RotZ,wrist3_RotW,wrist3_jointAngle,ee_PosX,ee_PosY,ee_PosZ,ee_RotX,ee_RotY,ee_RotZ,ee_RotW,suctionOn,blockAttracted
0.000,0.275,0.958,0.120,0.000,-0.719,0.000,-0.695,-1.916,0.280,0.958,0.256,-0.401,-0.587,0.415,-0.568,-19.499,0.676,1.100,0.123,-0.600,-0.362,0.621,-0.350,48.950,1.017,0.907,0.111,-0.651,-0.253,0.673,-0.244,-70.596,1.020,0.907,0.204,-0.925,-0.349,0.143,-0.042,-74.374,1.083,0.836,0.202,-0.925,-0.349,0.143,-0.042,0.002,1.024,0.784,0.226,-0.901,0.408,0.071,-0.131,False,False
0.131,0.275,0.958,0.120,0.000,-0.711,0.000,-0.703,-0.644,0.277,0.958,0.256,-0.273,-0.655,0.276,-0.648,-44.246,0.580,1.255,0.133,-0.550,-0.443,0.556,-0.438,57.190,0.962,1.167,0.128,-0.565,-0.423,0.572,-0.418,-85.933,0.963,1.167,0.221,-0.804,-0.595,0.005,0.003,-89.931,1.053,1.139,0.220,-0.804,-0.595,0.005,0.003,0.000,1.029,1.060,0.221,-0.989,0.148,0.006,-0.001,False,False
0.248,0.275,0.958,0.120,0.000,-0.708,0.000,-0.706,-0.208,0.275,0.958,0.256,-0.267,-0.656,0.268,-0.653,-45.498,0.573,1.261,0.135,-0.548,-0.447,0.550,-0.445,57.301,0.957,1.181,0.134,-0.563,-0.427,0.565,-0.425,-85.944,0.957,1.181,0.227,-0.798,-0.603,0.002,0.001,-89.954,1.048,1.155,0.226,-0.798,-0.603,0.002,0.001,0.000,1.026,1.076,0.226,-0.990,0.138,0.002,-0.001,False,False
0.357,0.275,0.958,0.120,0.000,-0.708,0.000,-0.707,-0.090,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.654,-45.630,0.572,1.262,0.136,-0.548,-0.447,0.549,-0.446,57.303,0.956,1.183,0.135,-0.563,-0.427,0.564,-0.427,-85.944,0.957,1.183,0.228,-0.797,-0.604,0.001,0.000,-89.954,1.048,1.157,0.228,-0.797,-0.604,0.001,0.000,0.000,1.025,1.078,0.228,-0.991,0.137,0.001,-0.001,False,False
0.469,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.043,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.653,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.563,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.001,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.001,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
0.579,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.031,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.655,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.563,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.001,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.001,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
0.685,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.025,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.563,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
0.792,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.024,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
0.901,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.024,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
1.009,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
