Timestamp,base_PosX,base_PosY,base_PosZ,base_RotX,base_RotY,base_RotZ,base_RotW,base_jointAngle,shoulder_PosX,shoulder_PosY,shoulder_PosZ,shoulder_RotX,shoulder_RotY,shoulder_RotZ,shoulder_RotW,shoulder_jointAngle,elbow_PosX,elbow_PosY,elbow_PosZ,elbow_RotX,elbow_RotY,elbow_RotZ,elbow_RotW,elbow_jointAngle,wrist1_PosX,wrist1_PosY,wrist1_PosZ,wrist1_RotX,wrist1_RotY,wrist1_RotZ,wrist1_RotW,wrist1_jointAngle,wrist2_PosX,wrist2_PosY,wrist2_PosZ,wrist2_RotX,wrist2_RotY,wrist2_RotZ,wrist2_RotW,wrist2_jointAngle,wrist3_PosX,wrist3_PosY,wrist3_PosZ,wrist3_RotX,wrist3_RotY,wrist3_RotZ,wrist3_RotW,wrist3_jointAngle,ee_PosX,ee_PosY,ee_PosZ,ee_RotX,ee_RotY,ee_RotZ,ee_RotW,suctionOn,blockAttracted
0.000,0.275,0.958,0.120,0.000,-0.706,0.000,-0.708,0.203,0.275,0.958,0.256,-0.371,-0.602,0.369,-0.604,-26.897,0.654,1.150,0.137,-0.592,-0.388,0.590,-0.389,50.265,1.014,0.995,0.139,-0.638,-0.307,0.636,-0.308,-74.877,1.014,0.995,0.232,-0.890,-0.429,0.137,-0.068,-72.287,1.088,0.936,0.232,-0.890,-0.430,0.135,-0.071,-0.469,1.039,0.875,0.257,-0.933,0.325,0.045,-0.146,False,False
0.109,0.275,0.958,0.120,0.000,-0.707,0.000,-0.708,0.071,0.275,0.958,0.256,-0.275,-0.651,0.275,-0.652,-44.234,0.579,1.255,0.137,-0.554,-0.440,0.553,-0.440,57.249,0.962,1.166,0.137,-0.569,-0.420,0.568,-0.420,-85.918,0.962,1.166,0.230,-0.804,-0.594,0.000,-0.001,-89.881,1.052,1.138,0.230,-0.804,-0.594,0.000,-0.001,0.000,1.028,1.060,0.230,-0.989,0.149,0.000,-0.001,False,False
0.246,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,0.006,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.567,0.573,1.262,0.136,-0.549,-0.446,0.548,-0.446,57.302,0.957,1.182,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.957,1.182,0.229,-0.798,-0.603,0.000,0.000,-89.954,1.048,1.156,0.229,-0.798,-0.603,0.000,0.000,0.000,1.025,1.077,0.229,-0.991,0.137,0.000,0.000,False,False
0.353,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.013,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.642,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
0.455,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.019,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.653,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
0.557,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.022,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.655,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
0.661,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
0.762,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
0.863,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
0.966,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
1.068,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
1.171,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
1.275,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
1.382,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
1.486,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
1.588,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
1.690,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
1.791,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
1.895,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
2.000,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
2.101,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
2.202,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
2.302,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
2.404,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
2.506,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
2.609,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
2.711,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
2.812,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
2.914,0.275,0.958,0.120,0.000,-0.707,0.000,-0.707,-0.023,0.275,0.958,0.256,-0.267,-0.655,0.267,-0.655,-45.656,0.572,1.262,0.136,-0.548,-0.447,0.548,-0.447,57.303,0.956,1.183,0.136,-0.564,-0.427,0.564,-0.427,-85.944,0.956,1.183,0.229,-0.797,-0.604,0.000,0.000,-89.954,1.047,1.157,0.229,-0.797,-0.604,0.000,0.000,0.000,1.025,1.078,0.229,-0.991,0.137,0.000,0.000,False,False
