Timestamp,base_PosX,base_PosY,base_PosZ,base_RotX,base_RotY,base_RotZ,base_RotW,base_jointAngle,shoulder_PosX,shoulder_PosY,shoulder_PosZ,shoulder_RotX,shoulder_RotY,shoulder_RotZ,shoulder_RotW,shoulder_jointAngle,elbow_PosX,elbow_PosY,elbow_PosZ,elbow_RotX,elbow_RotY,elbow_RotZ,elbow_RotW,elbow_jointAngle,wrist1_PosX,wrist1_PosY,wrist1_PosZ,wrist1_RotX,wrist1_RotY,wrist1_RotZ,wrist1_RotW,wrist1_jointAngle,wrist2_PosX,wrist2_PosY,wrist2_PosZ,wrist2_RotX,wrist2_RotY,wrist2_RotZ,wrist2_RotW,wrist2_jointAngle,wrist3_PosX,wrist3_PosY,wrist3_PosZ,wrist3_RotX,wrist3_RotY,wrist3_RotZ,wrist3_RotW,wrist3_jointAngle,ee_PosX,ee_PosY,ee_PosZ,ee_RotX,ee_RotY,ee_RotZ,ee_RotW,suctionOn,blockAttracted
0.000,1.454,0.953,-0.014,0.000,-0.695,0.000,0.719,-1.916,1.449,0.953,-0.150,0.415,-0.568,0.401,0.587,-19.499,1.053,1.095,-0.017,0.621,-0.350,0.600,0.362,48.950,0.712,0.902,-0.005,0.673,-0.244,0.651,0.253,-70.596,0.709,0.902,-0.098,0.143,-0.042,0.925,0.349,-74.374,0.646,0.831,-0.096,0.143,-0.042,0.925,0.349,0.002,0.705,0.779,-0.120,0.071,-0.131,0.901,-0.408,False,False
0.121,1.454,0.953,-0.014,0.000,-0.703,0.000,0.711,-0.644,1.452,0.953,-0.150,0.276,-0.648,0.273,0.655,-44.246,1.149,1.250,-0.027,0.556,-0.438,0.550,0.443,57.190,0.767,1.162,-0.022,0.572,-0.418,0.565,0.423,-85.933,0.766,1.162,-0.115,0.005,0.003,0.804,0.595,-89.931,0.676,1.134,-0.114,0.005,0.003,0.804,0.595,0.000,0.700,1.055,-0.115,0.006,-0.001,0.989,-0.148,False,False
0.221,1.454,0.953,-0.014,0.000,-0.706,0.000,0.709,-0.249,1.453,0.953,-0.150,0.269,-0.653,0.268,0.656,-45.429,1.156,1.256,-0.029,0.550,-0.445,0.548,0.447,57.300,0.772,1.175,-0.027,0.566,-0.425,0.563,0.427,-85.944,0.771,1.175,-0.120,0.002,0.001,0.798,0.602,-89.954,0.680,1.149,-0.120,0.002,0.001,0.798,0.602,0.000,0.703,1.070,-0.120,0.002,-0.001,0.990,-0.139,False,False
0.323,1.454,0.953,-0.014,0.000,-0.706,0.000,0.708,-0.105,1.454,0.953,-0.150,0.267,-0.654,0.267,0.655,-45.619,1.157,1.257,-0.030,0.549,-0.446,0.548,0.447,57.303,0.773,1.177,-0.029,0.564,-0.426,0.563,0.427,-85.944,0.772,1.177,-0.122,0.001,0.000,0.797,0.604,-89.954,0.681,1.152,-0.122,0.001,0.000,0.797,0.604,0.000,0.704,1.073,-0.122,0.001,-0.001,0.991,-0.137,False,False
0.424,1.454,0.953,-0.014,0.000,-0.707,0.000,0.707,-0.053,1.454,0.953,-0.150,0.267,-0.655,0.267,0.655,-45.650,1.157,1.257,-0.030,0.548,-0.446,0.548,0.447,57.303,0.773,1.178,-0.030,0.564,-0.427,0.563,0.427,-85.944,0.773,1.178,-0.123,0.001,0.000,0.797,0.604,-89.954,0.682,1.152,-0.122,0.001,0.000,0.797,0.604,0.000,0.704,1.073,-0.123,0.001,0.000,0.991,-0.137,False,False
0.525,1.454,0.953,-0.014,0.000,-0.707,0.000,0.707,-0.034,1.454,0.953,-0.150,0.267,-0.655,0.267,0.655,-45.655,1.157,1.257,-0.030,0.548,-0.447,0.548,0.447,57.303,0.773,1.178,-0.030,0.564,-0.427,0.563,0.427,-85.944,0.773,1.178,-0.123,0.001,0.000,0.797,0.604,-89.954,0.682,1.152,-0.123,0.001,0.000,0.797,0.604,0.000,0.704,1.073,-0.123,0.000,0.000,0.991,-0.137,False,False
0.630,1.454,0.953,-0.014,0.000,-0.707,0.000,0.707,-0.027,1.454,0.953,-0.150,0.267,-0.655,0.267,0.655,-45.655,1.157,1.257,-0.030,0.548,-0.447,0.548,0.447,57.303,0.773,1.178,-0.030,0.564,-0.427,0.563,0.427,-85.944,0.773,1.178,-0.123,0.001,0.000,0.797,0.604,-89.954,0.682,1.152,-0.123,0.001,0.000,0.797,0.604,0.000,0.704,1.073,-0.123,0.000,0.000,0.991,-0.137,False,False
0.731,1.454,0.953,-0.014,0.000,-0.707,0.000,0.707,-0.025,1.454,0.953,-0.150,0.267,-0.655,0.267,0.655,-45.656,1.157,1.257,-0.030,0.548,-0.447,0.548,0.447,57.303,0.773,1.178,-0.030,0.564,-0.427,0.563,0.427,-85.944,0.773,1.178,-0.123,0.000,0.000,0.797,0.604,-89.954,0.682,1.152,-0.123,0.000,0.000,0.797,0.604,0.000,0.704,1.073,-0.123,0.000,0.000,0.991,-0.137,False,False
0.834,1.454,0.953,-0.014,0.000,-0.707,0.000,0.707,-0.024,1.454,0.953,-0.150,0.267,-0.655,0.267,0.655,-45.656,1.157,1.257,-0.030,0.548,-0.447,0.548,0.447,57.303,0.773,1.178,-0.030,0.564,-0.427,0.564,0.427,-85.944,0.773,1.178,-0.123,0.000,0.000,0.797,0.604,-89.954,0.682,1.152,-0.123,0.000,0.000,0.797,0.604,0.000,0.704,1.073,-0.123,0.000,0.000,0.991,-0.137,False,False
0.935,1.454,0.953,-0.014,0.000,-0.707,0.000,0.707,-0.024,1.454,0.953,-0.150,0.267,-0.655,0.267,0.655,-45.656,1.157,1.257,-0.030,0.548,-0.447,0.548,0.447,57.303,0.773,1.178,-0.030,0.564,-0.427,0.564,0.427,-85.944,0.773,1.178,-0.123,0.000,0.000,0.797,0.604,-89.954,0.682,1.152,-0.123,0.000,0.000,0.797,0.604,0.000,0.704,1.073,-0.123,0.000,0.000,0.991,-0.137,False,False
